month,weekday,hour,energy
2,5,6,197.27934206991978
2,5,7,240.1118506850653
2,5,8,292.77115219798156
2,5,9,402.24135034996743
2,5,10,345.6890979067057
2,5,11,490.6811171013453
2,5,12,210.52071438109658
2,5,13,237.15615820450103
2,5,14,191.11314623139555
2,5,15,150.21083199109282
2,5,16,202.34570173992506
2,5,17,192.0273483259347
2,5,18,229.72822038869776
2,5,19,264.54778143319066
2,5,20,242.4032776990269
2,5,21,226.62240023480476
2,5,22,163.42580261419516
2,5,23,131.15461113205276
2,6,0,138.05896473223308
2,6,1,117.7598952576485
2,6,2,141.983865559077
2,6,3,139.8449812195189
2,6,4,117.50114822590353
2,6,5,160.26584843562182
2,6,6,133.87797755603444
2,6,7,260.6583511719861
2,6,8,614.3559110997311
2,6,9,460.62250028763424
2,6,10,792.1659225429868
2,6,11,460.19899293636354
2,6,12,216.9221690508332
2,6,13,187.3282682480943
2,6,14,407.7093021581204
2,6,15,261.8195328723529
2,6,16,334.3426338732896
2,6,17,452.48166367500255
2,6,18,336.0495668042812
2,6,19,276.47642016061826
2,6,20,330.56335372779233
2,6,21,267.6362898780045
2,6,22,149.1073963491493
2,6,23,130.72609145701904
3,0,0,113.51417388173041
3,0,1,147.16111867154558
3,0,2,120.88346748726293
3,0,3,124.33189137989383
3,0,4,178.69102082198233
3,0,5,202.051172158659
3,0,6,337.4706966737519
3,0,7,1064.7473294309902
3,0,8,502.8906694498011
3,0,9,1394.063130898705
3,0,10,554.6192556573162
3,0,11,988.6809720334985
3,0,12,726.1795752617078
3,0,13,596.8780844804182
3,0,14,606.2956862061966
3,0,15,266.76680632593155
3,0,16,308.53804454880196
3,0,17,281.7533169451044
3,0,18,289.2334912234441
3,0,19,298.4187889820488
3,0,20,316.49194777531403
3,0,21,254.69787206263365
3,0,22,174.62547677385973
3,0,23,111.93583645676898
3,1,0,130.18676776054454
3,1,1,103.89744469814289
3,1,2,117.76196114473163
3,1,3,133.20231179261728
3,1,4,178.16865754582193
3,1,5,197.99054559080784
3,1,6,294.62862904111245
3,1,7,462.43530028822715
3,1,8,348.4459614846097
3,1,9,421.96054204851464
3,1,10,330.61762364411317
3,1,11,256.71038381770023
3,1,12,321.95193710544766
3,1,13,226.46023174585065
3,1,14,343.2507715942729
3,1,15,242.6047237030089
3,1,16,207.95717064052292
3,1,17,197.29971547671988
3,1,18,321.45163427410716
3,1,19,322.4804172455364
3,1,20,308.7581535349518
3,1,21,226.36995263382613
3,1,22,181.1620019435348
3,1,23,114.5715457351578
3,2,0,115.05614223808402
3,2,1,121.81327774316854
3,2,2,115.11466809687258
3,2,3,139.70872516680453
3,2,4,179.14304681519891
3,2,5,204.12273425825876
3,2,6,212.24123548455657
3,2,7,513.215928865724
3,2,8,432.7296591891187
3,2,9,335.6832693243693
3,2,10,330.7520669176593
3,2,11,2421.299745100065
3,2,12,2525.6298779173812
3,2,13,2484.5531558366433
3,2,14,1282.5886807408651
3,2,15,1254.9067643580229
3,2,16,447.7084971818578
3,2,17,279.3643392328287
3,2,18,430.51508695936633
3,2,19,330.32512964500575
3,2,20,288.6548090214317
3,2,21,294.3275963794595
3,2,22,223.5301674613679
3,2,23,157.55089882935496
3,3,0,126.3068920839532
3,3,1,124.15513939982668
3,3,2,129.37352558316456
3,3,3,120.52588571041727
3,3,4,200.02120326489728
3,3,5,236.64619291433792
3,3,6,237.5114792838675
3,3,7,403.75529367076376
3,3,8,329.4113490002748
3,3,9,423.61265087277843
3,3,10,346.22458744765294
3,3,11,233.8514208669824
3,3,12,357.6075848927781
3,3,13,294.7633449637563
3,3,14,350.1249110182862
3,3,15,269.2093317442111
3,3,16,320.4097709661427
3,3,17,268.6714865041971
3,3,18,291.8589877173711
3,3,19,289.8170249698398
3,3,20,319.6135911692387
3,3,21,287.13190080328513
3,3,22,164.53258425886642
3,3,23,121.06251952560127
3,4,0,140.46333314454117
3,4,1,117.30810418973806
3,4,2,119.63261534607236
3,4,3,119.14867917918754
3,4,4,131.04167690015004
3,4,5,203.7071573666454
3,4,6,272.456718319263
3,4,7,465.69918639218315
3,4,8,380.91883246248534
3,4,9,395.1766732416437
3,4,10,778.1160989493694
3,4,11,1115.0459342907025
3,4,12,636.4942856425537
3,4,13,374.1156204044155
3,4,14,343.2498889647739
3,4,15,386.7310719059468
3,4,16,586.8353874473383
3,4,17,537.3523703333792
3,4,18,426.00064044137577
3,4,19,355.53445117881495
3,4,20,357.50828606449767
3,4,21,416.6046759424818
3,4,22,336.8972024923322
3,4,23,238.4224033553034
3,5,0,145.53784861462822
3,5,1,148.034536894302
3,5,2,141.74489851247995
3,5,3,117.04423483816295
